Name,Description,Cuisine,Hours,Good for,Address,Price,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revel Bistro & Bar,"The  Revel  Bistro  &  Bar  is  a  unique  wine  and  dine  destination  tucked  away  in  the  NTU  Alumni  House  at  Marina  Square.  This  10,000  square  feet  of  goodness  is  a  charming  and  understated  spot,  with  a  combination  of  both  Bistro  and  Bar.  A  perfect  haven  for  NTU  Alumni,  Faculty,  Staff  as  well  as  anyone  who  wants  to  kick  back  and  indulge  in  some  good  quality  times  with  family  and  friends.  If  you’re  feeling  a  little  peckish,  the  bespoke  Revel  Bistro  &  Bar,  managed  by  the  renowned  Neo  Group,  No.1  Events  Caterer  in  Singapore  brings  to  you  plenty  of  delectable  international  cuisine  as  well  as  familiar  Singaporean  flavours  to  satisfy  local  taste  buds. With  a  view  like  this,  it  boasts  fantastic  ambience  right  in  the  heart  of  the  city.  And  when  the  night  falls,  unwind  at  The  Revel  Bar  which  features  an  array  of  artisanal  cocktails.  Be  sure  to  revel  in  music  from  various  live  bands  every  Friday  and  Saturday. A  commitment  from  us  to  ensure  that  you  enjoy  both  quality  of  food  and  hospitality. (Nov 2018)","Buffet, International","Mon-Sun: 11:30am-2:30pm, 6-10pm","City Views, Casual Dining, Private Functions, Quiet Dinner, Romantic Dates",6 Raffles Boulevard#02-27/28Marina SquareSingapore (039594),$$,https://static.chope.co/uploads/2018/12/Food_Spread_jpg_1545635444.jpg https://static.chope.co/uploads/2018/12/BeefTataki_jpg_1545635444.jpg https://static.chope.co/uploads/2018/12/The_Revel_Bistro_Bar_Angus_Bee_1545635444.jpg https://static.chope.co/uploads/2018/12/SMOKE_SALMON_ciabatta_jpg_1545635444.jpg https://static.chope.co/uploads/2018/12/The_Revel_Bistro_Bar__Roasted__1545635444.jpg https://static.chope.co/uploads/2018/12/The_Revel_Bistro_Bar_Signature_1545635444.jpg https://static.chope.co/uploads/2018/12/The_Revel_Bistro_Bar_Succulent_1545635445.jpg https://static.chope.co/uploads/2018/11/Revelupdated_jpeg_1543392565.jpeg https://static.chope.co/uploads/2018/11/Bar_jpg_1543405777.jpg https://static.chope.co/uploads/2018/11/SG_Revel_Bistro_Bar_Bar_2_Edit_1543405783.jpg https://static.chope.co/uploads/2018/11/SG_Revel_Bistro_Bar_Shopfront__1543405783.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricciotti (Riverwalk),"This well-loved Italian restaurant is popular with an in-the-know lunch crowd hungry for its Italian deli grub and pastries, though in true Italian fashion, a luxurious sit-down affair that stretches out over a few hours would be the best way to enjoy this homey restaurant’s ample offerings.
The menu features lots of Italian classics, with a good number of ingredients made from scratch in the kitchen to really get at that home-cooked flavour. There’s a wide range of hand-made pastas tossed in vibrant sauces, including house favourites plump ravioli and tortelloni, stuffed with creamy cheeses and rich meat sauces. The risotto here is made from organically grown rice that gives a superb texture and creaminess, perfect in the meaty, Milanese-style risotto that’s made with a beef marrow reduction, saffron, and for a top-up, mounds of luxurious foie gras.
Grilled dishes round off the meal, and the seafood here is particularly good, featuring a range of oceany treats like grilled seabass. Delicious and hearty Italian plates from start to finish, find yourself some dining partners and have a nice, long meal at this fine trattoria. (Jul 2017)","Bar, Italian, Seafood, Vegetarian Friendly",Mon-Sun: 11:30am-11pm,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)",20 Upper Circular RoadB1-49/50The RiverwalkSingapore (058416),$$$,https://static.chope.co/uploads/2018/06/Ricciotti_Spaghetti_alla_Carbo_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Pizza_Genovese_jpg_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Bar_Area_jpg_1530069312.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Duo_di_Pesce_jpg_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Focaccia_jpg_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Interior_jpg_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Soffiato_jpg_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Tagliata_di_Manzo_jp_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Sofa_Seating_jpg_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Tomino_Piemontese_jp_1530069313.jpg https://static.chope.co/uploads/2018/06/Ricciotti_Whisky_jpg_1530069313.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riders Café,"While blue ribbons at horse shows and debating the virtues of riding ""Western"" versus ""English"" may not be top of mind for most Singaporeans, the old headquarters of the Bukit Timah Saddle Club seems to be more popular than ever before. Why? Word on the street (or shall we say ""at the stables"") is that first-time restaurateur Janice Yeo has converted the Bukit Timah Saddle Club's old clubhouse from an archaic and underappreciated relic of Singapore's colonial past to one of the most popular dining destinations in Singapore.
With a charmingly rustic ambience, the new clubhouse is cooled by beautiful ceiling fans and fresh air spilling through seemingly numerous windows along the wall. The al fresco area also affords the opportunity to enjoy a meal with a view of Bukit Timah’s lush greenery. If you’re lucky, you may even see a horse trotting by.
However, it’d be a mistake to just associate the Riders Café with its equestrian heritage. We’d be remiss if we didn’t mention Riders Café’s brunch. Best known for this lovely weekend meal, Riders Café is often regarded as the top brunch spot in Singapore. Brunch at Riders Café is so homey and rustic that you may just forget that you are in Singapore but instead, somewhere in the English countryside. (Feb 2012)",Modern European,"Tue-Thu, Sun: 8am-9pmFri & Sat: 8am-10pmClosed Monday","Casual Dining, Kid Friendly, Quiet Dinner, Romantic Dates",51 Fairways DriveSingapore (286965),$$$,https://static.chope.co/uploads/2018/09/SG_Riders_Cafe_FrenchToast_JPG_1537004292.JPG https://static.chope.co/uploads/2018/09/SG_Riders_Cafe_PorkChop_jpg_1537004241.jpg https://static.chope.co/uploads/2018/09/SG_Riders_Cafe_Pasta_JPG_1537004291.JPG https://static.chope.co/uploads/2018/09/SG_Riders_Cafe_TheUsual_JPG_1537004291.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ristorante Da Valentino Singapore,"An Italian family, led by Chef Valentino, serves up the hearty fare of their home country, with ingredients specially imported from Italy and lovingly prepared in a way even Italian mothers would approve of. Ristorante Da Valentino prides itself on its seasonally-influenced menu, working with the best produce of each season, bringing the harvest highlights to the table. Open a meal with some antipasti, like a Mediterranean-style grilled octopus leg, spritzed with the barest trace of lemon juice to highlight its oceany flavours. There’s also an appetizer of thinly-sliced pork loin blanketed in a zingy sauce of capers, mayonnaise, and tuna, the perfect prelude to hearty, seafood-studded pasta mains like black fettuccine dressed in fruity olive oil with chunks of crabmeat. If you still have room for a course after that, order some dry aged tenderloin served up with earthy porcini mushrooms and mashed potato, or some pork chops given a sweet moscato marinade for an extra tender, deeply-flavoured dish. Hearty from start to finish, with a rustic sensibility that’s so quintessentially Italian, you know you’re in the good hands of a family steeped in tradition at Ristorante Chef Valentino. (May 2017)",Italian,"Mon-Fri: 12-2:30pm, 6-10:30pmSat-Sun: 12-3pm, 6-10:30pm","Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",200 Turf Club Road#01-19The Grand StandSingapore (287994),$$$$,https://static.chope.co/uploads/2017/06/Valentino_Burrata_Datterini_jp_1498726652.jpg https://static.chope.co/uploads/2017/06/Valentino_Fettuccine_Spicy_Sausage_jpg_1496751074.jpg https://static.chope.co/uploads/2017/06/Valentino_Calamari_jpg_1498726652.jpg https://static.chope.co/uploads/2017/06/Valentino_Octopus_Tentacle_jpg_1498727007.jpg https://static.chope.co/uploads/2017/06/Lobster_linguini_valentino_jpg_1498637517.jpg https://static.chope.co/uploads/2017/06/Valentino_Bistecchina_jpg_1496750638.jpg https://static.chope.co/uploads/2017/06/Valentino_Pork_Chop_jpg_1496750620.jpg https://static.chope.co/uploads/2017/07/Valentino_Pork_Chop_jpg_1499763465.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ristorante Takada,"Standing out from the elegant row of shops along Alexandra Road is Ristorante Takada, which sets itself apart from other dining establishments in more ways than one. At its helm is Chef Masahiro Takada, who has established himself as a trailblazer and a creator of superb Japanese-Italian fare. With a strong emphasis on the freshness of ingredients used, Chef Takada ensures the extraordinary standard and quality of his food. The restaurant uses fresh seafood, such as Hokkaido scallops and sea urchin, which are imported directly from the famed Tsukiji market in Tokyo.
The squid ink taglioni topped with sea urchin is sublime, with the combination of ingredients releasing a delightful blend of flavours on the taste buds. We also highly recommend the Wagyu tenderloin steak which is cooked to perfection, bringing out the full magnificent texture of the beef. These are all found on the July 2016 dinner menu, and are just a few examples of Chef Takada’s varied and exquisitely unique creations.
Let your dining experience be elevated further by the simple, chic decor that speaks of subtle elegance. The soothing jazz music and minimalist aesthetic create a great ambience that complements the meal perfectly. Japanese-Italian cuisine might not be quite as well-known as Japanese-French fare, but we definitely recommend giving Ristorante Takada a go! (Jul 2016)","Japanese, Italian","Tue-Sun: 12-2pm, 6-10pmClosed Monday","Business Meetings, Fine Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",356 Alexandra Road#01-07Alexis CondominiumSingapore (155948),$$$$,https://static.chope.co/uploads/2016/06/Ristorante_Takada_Risotto_with_1464778999.jpg https://static.chope.co/uploads/2016/06/Ristorante_Takada_Tagliolini_i_1464778999.jpg https://static.chope.co/uploads/2016/06/La_Luna_Rossa_jpg_1465357783.jpg https://static.chope.co/uploads/2016/06/Iberico_Pork_jpg_1465356434.jpg https://static.chope.co/uploads/2016/06/Ristorante_Takada_Chocolate_La_1464778998.jpg https://static.chope.co/uploads/2016/06/Ristorante_Takada_Grilled_Beef_1464778999.jpg https://static.chope.co/uploads/2016/06/Ristorante_Takada_Panna_Cotta__1464778999.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Wok,"There’s something indescribably romantic about a river-side hawker - his flaming wok balanced perfectly in a little boat, selling searing hot food to passing boats. There’s no river here, but everything else - the bold, robust flavours and piping hot à la minute servings remain. River Wok pulls together cuisines of the region, including Thailand, Vietnam, Indonesia, and Laos, which have a shared love of heat, contrasting textures, and bold flavours.
Start off with a little plate of crispy Cha Gio, deep-fried spring rolls done in the Vietnamese style with shrimp, minced chicken, and crunchy greens. Pair that with smoky Indonesian Satay, a mix of beef, chicken, and mutton served with the customary peanut sauce and platter of fresh vegetables. Mains here are meaty, fiery, and unapologetically aromatic. Vietnamese Shaking Pepper Beef is a sizzling plate of tender beef slices tossed in a heavenly black pepper sauce, while the Thai take comes in the form of Grilled Beef with Spicy Tamarind Sauce. Beef Rendang takes us into Indonesian territory, and a steaming plate of white rice is the perfect accompaniment to all of them. A meal here would not be complete with a steaming bowl of soup or soup noodles, including a very good rendition of the Vietnamese classic Pho Bo, Thai Tom Yum Goong, and Indonesian Sop Ikan Batam, a red snapper fillet in a soup of pickles, tomatoes, fried onions, lemon, and fragrant basil. Your tongue will not leave this restaurant without a very good massage, and you’ll be thinking of these punchy flavours for days to come! (Dec 2017)","Bar, Indonesian, Thai, Vietnamese",Mon-Sun: 12-11:30pm,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Pet Friendly, Private Functions, Quiet Dinner, Romantic Dates",80 Mohamed Sultan Road#01-12The PierSingapore (239013),$$$,https://static.chope.co/uploads/2017/12/RW_Gaeng_Kiew_Wan_Gai_jpg_1514371307.jpg https://static.chope.co/uploads/2017/12/RW_Els_Cendol_jpg_1514371306.jpg https://static.chope.co/uploads/2017/12/RW_Fish_jpg_1514371307.jpg https://static.chope.co/uploads/2017/12/RW_Khao_Pad_Sapparod_jpg_1514371307.jpg https://static.chope.co/uploads/2017/12/RW_Mix_Appetiser_Platter_jpg_1514371307.jpg https://static.chope.co/uploads/2017/12/RW_Tom_Yum_Goong_jpg_1514371307.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIZU Modern Japanese Cuisine,"RIZU Modern Japanese Cuisine introduces a modern Japanese dining concept to the busy Duxton Hill enclave. The Japanese Head Chef Noboru Shimohigashi brings personable gastronomic experiences with crafted precision and passion cultivated in renowned Michelin-starred restaurants.
RIZU Modern Japanese Cuisine offers four kinds of Omakase tasting course and A La Carte options with a wide selection of sake offerings as well as a premium list of wine and champagne.
Furthermore, jazz music plays in the background of the sophisticated urban setting. A relaxing al-fresco space, intimate indoor surrounding and counter side seats. Indeed, It’s an ideal spot for romantic dinner, celebrations and entertaining. (Mar 2019)","Japanese, Seafood","Tue-Sat: 12-2:30pm, 6:30-10:30pmClosed Monday & Sunday","Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates",39 Duxton HillSingapore (089617),$$$$$,https://static.chope.co/uploads/2019/07/03_Carpaccio_jpg_1563437759.jpg https://static.chope.co/uploads/2019/07/08_Hamo_Tenpura_jpg_1563437759.jpg https://static.chope.co/uploads/2019/07/06_Table_jpg_1563437255.jpg https://static.chope.co/uploads/2019/07/09_Crab_Risotto_jpg_1563437759.jpg https://static.chope.co/uploads/2019/07/10_Rose_Ice_cream_jpg_1563437759.jpg https://static.chope.co/uploads/2019/07/04_Interior_jpg_1563437282.jpg https://static.chope.co/uploads/2019/07/01_Appetiser_jpg_1563437642.jpg https://static.chope.co/uploads/2019/07/02_Wagyu_Beef_jpg_1563437438.jpg https://static.chope.co/uploads/2019/07/05_Sushi_counter_jpg_1563437302.jpg https://static.chope.co/uploads/2019/07/07_Lunch_course_jpg_1563437317.jpg https://static.chope.co/uploads/2019/07/11_Sushi_jpg_1563437668.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocku Yakiniku,"This casual and edgy restaurant isn’t just your typical Yakiniku joint. A haven for meat-lovers, Rocku serves up tantalising cuts of meat flown in from Australia, Japan, and the USA. You can expect premium cuts such as Wagyu beef brisket, Australian sirloin, short ribs, and many other delightful options. The decor is equally intriguing. With unpolished brick walls and bold graffiti carelessly plastered all over them, the space oozes fun and cheekiness.
What makes Rocku special however, is the multi-sensory dining experience diners will get to enjoy. Offering live music of the Korean, Japanese, and Mandarin pop-rock variety every Thursday to Saturday, Rocku is definitely your go-to place for an upbeat night out with friends. Don’t forget to complement your sizzling meats with some Asahi beer, whisky, or Japanese sake in hand. Whether it’s an Asahi Beer Tower, a classy glass of Nikka Black Special, or some Gekkeikan Josen, one thing’s for sure: there’s bound to be something to say cheers to here at Rocku. (Oct 2016)","Buffet, Japanese, BBQ","Mon-Thu: 12-3pm, 6-10pmFri & Eve PH: 12-3pm, 5:30-11pmSat: 12-11pmSun & PH: 12-10pm","Casual Dining, Kid Friendly",201 Victoria Street#04-06Bugis+Singapore (188067),$$$,https://static.chope.co/uploads/2016/10/Rocku_Assorted_Mushrooms_jpg_14762800591.jpg https://static.chope.co/uploads/2016/10/Rocku_Assorted_Vegetables_jpg_14762800591.jpg https://static.chope.co/uploads/2016/10/Rocku_Beef_Chuck_Roll_jpg_14762800591.jpg https://static.chope.co/uploads/2016/10/Rocku_Egg_Fried_Rice_jpg_14762800591.jpg https://static.chope.co/uploads/2016/10/Rocku_Grilled_Meat_jpg_1476280059.jpg https://static.chope.co/uploads/2016/10/Rocku_Interior_jpg_1476280059.jpg https://static.chope.co/uploads/2016/10/Rocku_Pork_Belly_jpg_14762800591.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodizio Do Brazil Churrascaria & Bar,"Situated by the Singapore River, sits a Brazilian Churrascaria restaurant, that will undeniably satiate your cravings with their eat-all-you-can concept. Expect quality meat served on skewers, and carve out generous portions of a wide range of specially selected, and mouth-watering beef or pork cuts - diners will surely be able to enjoy fresh from the grill!

Apart from the proteins, the restaurant also offers an array of salad to balance the meaty diet!

Rodizio Do Brazil provides an authentic Brazilian experience for hungry souls on the hunt for the best meat in town! (Jul 2018)","Bar, Steakhouse, BBQ",Mon-Sun: 6pm-2am (Last Order: 10:30pm),"Al Fresco, Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks, Private Functions",3E River Valley Road#01-07Clarke QuaySingapore (179024),$$$,https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Grilled_Be_1532515572.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Beef_Brisk_1532515571.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Chicken_He_1532515571.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Grilled_Be_15325155721.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Interior_j_1532515571.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Grilled_Ha_1532515572.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Round_Stea_1532515572.jpg https://static.chope.co/uploads/2018/07/SG_RodizioDoBrazail_Rump_Steak_1532515572.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogue Trader,"Rogue Trader is a British-style colonial cocktail bar furnished with Balinese antique décor located in the heart of Little India. Expect bottled craft beers, classic cocktails, spiced cocktail creations and a great selection of whiskies. With a colonial India accent, this sophisticated gem welcomes thirsty travellers and restaurant patrons. Think tea time and tonics, think adventure tales and the spice trade; embracing the ingredients readily available in the area. Rogue Trade is vibrant and casual; a perfect fit to its location on Campbell Lane. (Mar 2019)","American, Bar, Indian, Fusion, Burgers, BBQ",Tue-Sun: 5pm-12amClosed Monday,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions",21 Campbell LaneLevel 2Singapore (209894),$$$,https://static.chope.co/uploads/2019/05/Black_lime_fennel_seed_Rickey__1556767769.jpg https://static.chope.co/uploads/2019/05/Barrel_Aged_Negroni_Edited_jpg_1556767769.jpg https://static.chope.co/uploads/2019/05/East_India_cobbler_Edited_jpg_1556767769.jpg https://static.chope.co/uploads/2019/05/House_Gin_Tonic_Edited_jpg_1556767769.jpg https://static.chope.co/uploads/2019/05/Tamarind_Old_Fashioned_Edited__1556767769.jpg https://static.chope.co/uploads/2018/01/RT_Cocktail_jpg_1516888827.jpg https://static.chope.co/uploads/2018/01/RT_Bar_Counter_2_jpg_1516888827.jpg https://static.chope.co/uploads/2018/01/RT_Bar_Snacks_jpg_1516888827.jpg https://static.chope.co/uploads/2018/01/RT_Neon_Marquee_jpg_1516888827.jpg https://static.chope.co/uploads/2018/01/RT_Bar_Counter_1_jpg_1516888827.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roo's Gastrobar,"Tucked away in quiet Frankel Avenue is this family-friendly hideout that serves up comforting nosh with Western and Indian panache. The smells of the busy grill and coffee bar hit you as you walk in, a heady mix of tandoori grills, steaks, and specialty coffee. The menu is eclectic but familiar, a selection of scrummy bar bites like Buffalo Wings and Golden Calamari Wings in the same company as spicy Mumbai Masala Fries and pizzas topped with flavours like Achaari Paneer and Tandoori Chicken. If you’re craving something with a French sensibility, there’s old-school delights like a Slow Cooked Chicken Roulade and Succulent Braised Beef Shin, perfectly cooked till fork tender. Pasta lovers will dive straight for the Spaghetti Pescatore, tangles of noodles in a rich tomato sauce studded with tender seafood.

On the weekends, a full-on Indian menu comes into play, turning the grill on for a wider selection of aromatic meats and curries. Think Ajwaini Prawns marinated in yoghurt and carom seed, or Peshwari Lamb Chop, best served up with vegetables dishes like Chargrilled Cauliflower and Saag Paneer, pillowy cubes of cheese curds in a ghee-rich spinach gravy. Needless to say, a basket of naan is obligatory, and maybe a few dishes from the Western menu to add a little fusion excitement. This place has it all: a homey ambience, hearty plates that straddle two different culinary traditions, and a family-friendly environment that’s perfect for the kids. (May 2018)","Bar, Indian, Vegetarian Friendly, Pizza, Burgers","Mon, Wed-Fri: 11:30am -2:30pm, 5:30pm-12am Sat-Sun & PH: 11:30am-12am Closed Tuesday","Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner",87 Frankel AvenueSingapore (458215),$$$,https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Herb_Cruste_1527074246.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_American_St_1527074245.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Buffalo_Win_1527074245.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Buttermilk__1527074245.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Cheese_Crac_1527074245.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Classic_Egg_1527074245.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Interior_jp_1527074246.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Panacotta_W_1527074246.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Sausage_Pla_1527074246.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Smoked_Salmon_Eggs_Bennedict_jpg_1527074267.jpg https://static.chope.co/uploads/2018/05/SG_Roo_s_Gastrobar_Assorted_Ma_1527074246.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rookery (Capital Tower),"Named after the collective noun for the gathering of penguins, crows, and seals, this spot has an inimitable quirky charm that will surprise you as soon as you walk in the door. The brainchild of a whisky lover, coffee addict, and a wine connoisseur brought together by a love of good food, this eatery is a brunch spot by day and resto-bar by night. Boasting excellent food and drink at all hours of the day, this is the perfect place to go for a post-work tipple with friends or a weekend brunch with family.

The Miso Salmon is a must-try here. This saucy dish consists of fresh ocean trout drenched in an earthy pesto-mayonnaise blend and served with a dash of garlic yuzu dressing. The juicy tomatoes that come with this dish are the perfect accompaniment to the tender meat and toppings that come with it. Diners looking for something a little lighter will love the Salmon Avocado Salad - a crisp mesclun salad topped with avocado, edamame, and the crowning glory - slivers of soft smoked salmon.

Not a seafood lover? The Wagyu Cheese Burger well serve you nicely. A generously proportioned Wagyu beef patty topped with cheddar and mushrooms and sandwiched between two fluffy slices of brioche, this is a decadent option sure to satisfy any carnivore. (Jun 2018)","Australian, British, Cafe, Burgers",Mon-Fri: 8am-11pmClosed Saturday & Sunday,"Business Meetings, Casual Dining, Drinks, Quiet Dinner, Romantic Dates",168 Robinson Road#01-08Capital TowerSingapore (068912),$$,https://static.chope.co/uploads/2018/06/SG_Rookery_Capital_Tower__Food_1530107725.jpg https://static.chope.co/uploads/2018/06/SG_Rookery_Capital_Tower_cold__1530107725.jpg https://static.chope.co/uploads/2018/06/SG_Rookery_Capital_Tower_green_1530107725.jpg https://static.chope.co/uploads/2018/06/SG_Rookery_Capital_Tower_highl_1530107725.jpg https://static.chope.co/uploads/2018/06/SG_Rookery_Capital_Tower_steak_1530107726.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rookery (Hong Leong Building),"Named after the collective noun for the gathering of penguins, crows, and seals, this spot has an inimitable quirky charm that will surprise you as soon as you walk in the door. The brainchild of a whisky lover, coffee addict, and a wine connoisseur brought together by a love of good food, this eatery is a brunch spot by day and resto-bar by night. Boasting excellent food and drink at all hours of the day, this is the perfect place to go for a post-work tipple with friends or a weekend brunch with family.

The Iberico Pork Chop is the perfect dish for diners looking for something moreish. A glazed 200 gram pork chop served with a mound of sweet potato fries and homemade ketchup on the side. The Iberico Pulled Pork Linguine is a variation of this dish, and consists of slow-cooked pork cheek, spiced tomato sauce, chorizo, and panka. The combination of the earthy chorizo and spiced tomato sauce coating the perfectly cooked linguine strands make for a mouthwatering dish that you won’t find anywhere else.

Herbivores can opt for the Avocado Cheese Wrap - a tortilla made with avocado, scrambled eggs, tomatoes, and cheese. The combination of flavours makes for a rich and delicious wrap that is perfect for a midday meal. (Jun 2018)","Australian, British, Cafe, Burgers",Mon-Fri: 8am-11pmSat: 11am-9pmClosed Sunday & PH,"Business Meetings, Casual Dining, Drinks, Private Functions",16 Raffles Quay#01-02AHong Leong BuildingSingapore (048581),$$,https://static.chope.co/uploads/2018/06/SG_Rookery_Hong_Leong_Building_15301074661.jpg https://static.chope.co/uploads/2018/06/SG_Rookery_Hong_Leong_Building_15301074662.jpg https://static.chope.co/uploads/2018/06/SG_Rookery_Hong_Leong_Building_1530107466.JPG https://static.chope.co/uploads/2018/06/SG_Rookery_Hong_Leong_Building_15301074663.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roots Mediterranean,"Back to the Mediterranean ROOTS! A new restaurant concept with a great selection of Spanish, Greek and Italian dishes. Located in Bukit Timah area, ROOTS offers a cozy and laid-back ambience with a nice alfresco area where to have a drink with a tapas or a full dinner with friends or family. (Aug 219)","Italian, Vegetarian Friendly, Pizza","Mon-Thu: 11:30am-2:30pm, 5-10:30pmFri-Sun: 11:30am-10:30pm","Al Fresco, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)",2 Greenwood AvenueSingapore (289189),$$,https://static.chope.co/uploads/2019/08/SG_Roots_Pizza_Burrata_jpg_1565602212.jpg https://static.chope.co/uploads/2019/08/SG_Roots_Bruschetta_jpg_1565599633.jpg https://static.chope.co/uploads/2019/08/SG_Roots_Croquetas_jpg_1565599633.jpg https://static.chope.co/uploads/2019/08/SG_Roots_Fritto_Misto_jpg_1565599633.jpg https://static.chope.co/uploads/2019/08/SG_Roots_Greek_Meze_jpg_1565599633.jpg https://static.chope.co/uploads/2019/08/SG_Roots_beef_tagliata_jpg_1565599633.jpg https://static.chope.co/uploads/2019/08/SG_Roots_horiatiki_salata_gree_1565599634.jpg https://static.chope.co/uploads/2019/08/SG_Roots_Pizza_jpg_1565599634.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
